i,x (8 pow -i)),f(x),g(x)
1,0.125,0.0077822185373186414,0.0077822185373187065
2,0.015625,0.00012206286282867573,0.00012206286282875901
3,0.001953125,1.9073468138230965e-6,1.907346813826566e-6
4,0.000244140625,2.9802321943606103e-8,2.9802321943606116e-8
5,3.0517578125e-5,4.656612873077393e-10,4.6566128719931904e-10
6,3.814697265625e-6,7.275957614183426e-12,7.275957614156956e-12
7,4.76837158203125e-7,1.1368683772161603e-13,1.1368683772160957e-13
8,5.960464477539063e-8,1.7763568394002505e-15,1.7763568394002489e-15
9,7.450580596923828e-9,0.0,2.7755575615628914e-17
10,9.313225746154785e-10,0.0,4.336808689942018e-19
11,1.1641532182693481e-10,0.0,6.776263578034403e-21
12,1.4551915228366852e-11,0.0,1.0587911840678754e-22
13,1.8189894035458565e-12,0.0,1.6543612251060553e-24
14,2.2737367544323206e-13,0.0,2.5849394142282115e-26
15,2.842170943040401e-14,0.0,4.0389678347315804e-28
16,3.552713678800501e-15,0.0,6.310887241768095e-30
17,4.440892098500626e-16,0.0,9.860761315262648e-32
18,5.551115123125783e-17,0.0,1.5407439555097887e-33
19,6.938893903907228e-18,0.0,2.407412430484045e-35
20,8.673617379884035e-19,0.0,3.76158192263132e-37